ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
88,Alcedines,"Kingfishers, Motmots and Allies|Kingfishers, Motmots and Allies",Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
89,Pluvialis fulva,Pacific golden plover|Pacific golden plover|Least Golden Plover (Pacific Golden Plover)|Pacific golden plover,Pluvialis fulva|Pluvialis|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
90,Todiramphus sanctus,Sacred kingfisher|Sacred kingfisher,Todiramphus sanctus|Todiramphus|Daceloninae|Alcedinidae|Alcedines|Coraciiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|NZ Botanical Region|
91,Pterodroma magentae,Chatham taiko|Magenta Petrel|Chatham Island Taiko|tchaik|Taiko|Chatham Island Taiko|Magenta Petrel,Pterodroma magentae|Pterodroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
92,Ixobrychus minutus dubius,Australian Little Bittern|leech bittern|Little bittern|minute bittern|Australian Little Bittern,Ixobrychus minutus dubius|Ixobrychus minutus|Ixobrychus|Botaurinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
93,Phalaropus tricolor,Wilson's Phalarope|Wilson's Phalarope,Phalaropus tricolor|Phalaropus|Phalaropodidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
94,Morus,,Morus|Sulidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
95,Petroica (Miro) australis australis,South Island Robin|Toutouwai,Petroica (Miro) australis australis|Petroica australis|Miro|Petroica|Petroicidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
96,Eudynamys,,Eudynamys|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
97,Eolophus roseicapillus,Galah|Galah|Rose Cockatoo,Eolophus roseicapillus|Eolophus|Psittacidae|Psittaciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|North Island|Political Region|Terrestrial
98,Chlidonias albostriatus,Black-fronted Tern|Tarapiroe|Tarapirohe|Black-fronted Tern,Chlidonias albostriatus|Chlidonias|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
99,Aythya,,Aythya|Aythyini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
100,Threskiornithinae,Ibises|Ibises,Threskiornithinae|Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
101,Streptopelia roseogrisea,Barbary dove|Barbary dove|Barbary dove,Streptopelia roseogrisea|Streptopelia|Columbinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
102,Fulica chathamensis,Chatham Island Coot|Chatham Island Coot|Chatham Island Coot|Chatham Island Coot,Fulica chathamensis|Fulica|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
103,Pachyptila crassirostris,Fulmar prion|Fulmar prion,Pachyptila crassirostris|Pachyptila|Fulmarinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
104,Larus,,Larus|Larinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
105,Calidris tenuirostris,Great Knot|Great Knot|Great Knot|Great Knot,Calidris tenuirostris|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
106,Grus rubicundus,Brolga Crane|Brolga|Brolga,Grus rubicundus|Grus|Gruinae|Gruidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
107,Diomedea epomophora sanfordi,Northern Royal Albatross|Toroa|Toroa|Northern Royal Albatross,Diomedea epomophora sanfordi|Diomedea epomophora|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
108,Grus,,Grus|Gruinae|Gruidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
109,Traversia lyalli,Lyall's Wren|Lyall's Wren|Stephens Island Wren|Lyall's Wren|Stephen Island Wren|Stephens Island Wren,Traversia lyalli|Traversia|Acanthisittidae|Acanthisittides|Oligomyodi|Passeriformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|infraorder|suborder|order|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
110,Larus dominicanus,Kelp Gull|Kelp Gull|Dominican Gull|Kelp Gull|Dominican Gull,Larus dominicanus|Larus|Larinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
111,Hydrobatidae,,Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
112,Acrocephalus australis,Australian Reed Warbler|Australian Reed Warbler,Acrocephalus australis|Acrocephalus|Acrocephalidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present||New Zealand|Political Region|
113,Euryapteryx gravis,Stout-legged moa,Euryapteryx gravis|Euryapteryx|Emeinae|Emeidae|Dinornithiformes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,|Extinct||New Zealand|Political Region|
114,Apteryx rowi,Rowi|Okarito brown kiwi,Apteryx rowi|Apteryx|Apterygidae|Apterygiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|South Island|Political Region|Terrestrial
115,Aquila,,Aquila|Accipitrinae|Accipitridae|Accipititrifomes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
116,Megaluridae,,Megaluridae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
117,Tyto,,Tyto|Tytoninae|Tytonidae|Strigiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
118,Fulica,,Fulica|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
119,Phalacrocorax melanoleucos brevirostris,Kawau paka|Little Shag|Kawaupaka|Little Shag|Kawaupaka|Little Shag,Phalacrocorax melanoleucos brevirostris|Phalacrocorax melanoleucos|Phalacrocorax|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
120,Cuculus optatus,Oriental Cuckoo,Cuculus optatus|Cuculus|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present||New Zealand|Political Region|
121,Rhipidura leucophrys,Willie Wagtail|Willie Wagtail|Willie Wagtail,Rhipidura leucophrys|Rhipidura|Rhipidurinae|Monarchidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
122,Biziura delautouri,New Zealand musk duck|New Zealand musk duck,Biziura delautouri|Biziura|Oxyurinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
123,Circus,,Circus|Accipitrinae|Accipitridae|Accipititrifomes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
124,Sternula albifrons,Little Tern,Sternula albifrons|Sternula|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present||New Zealand|Political Region|
125,Anous stolidus,Common Noddy|Brown noddy|Common Noddy,Anous stolidus|Anous|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
126,Chalcophaps,,Chalcophaps|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
127,Cacomantis flabelliformis flabelliformis,Fan-tailed Cuckoo|Fan-tailed Cuckoo|Fan-tailed Cuckoo,Cacomantis flabelliformis flabelliformis|Cacomantis flabelliformis|Cacomantis|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
128,Gallirallus philippensis macquariensis,,Gallirallus philippensis macquariensis|Gallirallus philippensis|Gallirallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Absent||New Zealand|Political Region|
129,Turdus merula merula,,Turdus merula merula|Turdus merula|Turdus|Turdinae|Muscicapidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
130,Cookilaria,,Cookilaria|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
131,Eudyptes chrysocome moseleyi,Moseley's Rockhopper Penguin|Moseley's Rockhopper Penguin,Eudyptes chrysocome moseleyi|Eudyptes chrysocome|Eudyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
132,Spheniscidae,Penguins|Penguins,Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
133,Daption capense australe,Snares Cape Pigeon|Snares Cape Petrel|Snares Cape Pigeon,Daption capense australe|Daption capense|Daption|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
134,Stercorarius pomarinus,Pomarine skua|Pomarine skua|Pomarine skua,Stercorarius pomarinus|Stercorarius|Stercorariidae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
135,Gallinago hardwickii,Japanese snipe|Japanese snipe|Japanese snipe|Japanese snipe,Gallinago hardwickii|Gallinago|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
136,Botaurus,,Botaurus|Botaurinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
137,Lewinia,,Lewinia|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
138,Gallinago,,Gallinago|Gallinagininae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
139,Calonectris,,Calonectris|Procellariinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
140,Ardenna tenuirostris,,Ardenna tenuirostris|Ardenna|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
141,Petrochelidon nigricans,Tree martin|Australian tree martin|Tree martin,Petrochelidon nigricans|Petrochelidon|Hirundinidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
142,Megalopterinae,Noddies,Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
143,Anas rhynchotis variegata,New Zealand Shoveler|Kuruwhengi|New Zealand Shoveler|Kuruwhengi,Anas rhynchotis variegata|Anas rhynchotis|Anas|Anatini|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|tribe|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
144,Ptilinopus regina,,Ptilinopus regina|Ptilinopus|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Absent||New Zealand|Political Region|
145,Gallus,,Gallus|Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
146,Tachybaptus,,Tachybaptus|Podicipedidae|Podicipediformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
147,Cuculiformes,Cuckoos and Turacos,Cuculiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,order|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
148,Campephagidae,Cuckoo-shrikes|Cuckoo-shrikes|Cuckoo-shrikes,Campephagidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
149,Pachydyptes ponderosus,,Pachydyptes ponderosus|Pachydyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
150,Chlidonias leucopterus,White-winged Black Tern|White-winged Black Tern|White-winged Black Tern|White-winged Black Tern,Chlidonias leucopterus|Chlidonias|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
