ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
73,Anas rhynchotis,Australasian Shoveler|Australasian Shoveler|Australasian Shoveler,Anas rhynchotis|Anas|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
74,Eudyptes chrysocome chrysocome,Western Rockhopper Penguin|Western Rockhopper Penguin,Eudyptes chrysocome chrysocome|Eudyptes chrysocome|Eudyptes|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
75,Pterodroma neglecta,Kermadec Petrel|Kermadec Petrel,Pterodroma neglecta|Hallstroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Kermadec Islands|Political Region|Terrestrial
76,Emberizinae,"Buntings, American Sparrows|Buntings, American Sparrows",Emberizinae|Emberizidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
77,Cereopsis novaehollandiae,Cape Barren goose|Cape Barren goose|Cape Barren goose,Cereopsis novaehollandiae|Cereopsis|Anserinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
78,Pachyornis mappini,,Pachyornis mappini|Pachyornis|Anomalopteryginae|Emeidae|Dinornithiformes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,
79,Mohoua novaeseelandiae,Brown Creeper|Pipipi|Pipipi|Brown Creeper|Brown Creeper|Pipipi|Brown Creeper,Mohoua novaeseelandiae|Mohoua|Mohouinae|Pachycephalidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
80,Leucocarbo chalconotus,"Stewart Island Shag, Bronze Shag|Stewart Island Shag, Bronze Shag|Otago Shag",Leucocarbo chalconotus|Leucocarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
81,Charadrius mongolus,Mongolian Dotterel|Mongolian Dotterel|Mongolian Dotterel|Mongolian Dotterel,Charadrius mongolus|Charadrius|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
82,Apteryx australis australis,South Island Brown Kiwi|Southern Fiordland tokoeka|South Island Brown Kiwi|Tokoeka|Tokoeka|South Island Brown Kiwi,Apteryx australis australis|Apteryx australis|Apteryx|Apterygidae|Casuariifomes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
83,Philesturnus carunculatus,Tieke|South Island Saddleback|jackbird|Tieke|Saddleback|South Island Saddleback|Saddleback|Tieke,Philesturnus carunculatus|Philesturnus|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
84,Larus novaehollandiae,Red-billed Gull|Red-billed Gull|Red-billed Gull,Larus novaehollandiae|Larus|Larinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Present||New Zealand|Political Region|
85,Hirundo,,Hirundo|Hirundinidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
86,Passer domesticus domesticus,,Passer domesticus domesticus|Passer domesticus|Passer|Passerinae|Ploceidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
87,Sterna striata,White-fronted Tern|Tara|White-fronted Tern|White-fronted Tern|Tara,Sterna striata|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
